排名,MovieID,电影名,周票房,总票房,本周人次,上映天数,票价均价,平均上座人数,票房环比变化,场次环比变化,观影人次环比变化,排名变化,口碑指数,票房日期,单周总票房,单周总场次,单周总人次,页面网址,当前时间
1,306285,阿丽塔：战斗天使,32340,75918,863,10,37,12,-26,76,-23,1,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:45.9
2,678868,驯龙高手3,21805,22116,606,3,36,19,0,0,0,0,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.1
3,642412,流浪地球,17852,452299,503,27,36,10,-68,-37,-63,-2,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.1
4,684562,绿皮书,11459,11570,344,3,33,20,0,0,0,0,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.1
5,676018,飞驰人生,4724,169407,129,27,37,6,-71,-45,-71,-1,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.1
6,638300,疯狂的外星人,3986,218886,110,27,36,6,-76,-51,-76,-3,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.2
7,683172,熊出没·原始时代,975,70556,29,27,33,5,-82,-63,-81,-2,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.2
8,684093,一吻定情,603,17143,17,18,37,5,-83,-69,-82,-2,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.2
9,675370,朝花夕誓：于离别之朝束起约定之花,567,1663,19,10,31,4,-47,-5,-46,-1,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.2
10,683395,新喜剧之王,429,62002,12,27,36,3,-79,-59,-78,-3,,2019/2/25至2019-03-03,95884,2375134,2665,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/25,30:46.3
1,642412,流浪地球,56565,434447,1352,20,42,16,-68,-17,-66,9999,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.6
2,306285,阿丽塔：战斗天使,43578,43578,1125,3,39,27,0,0,0,0,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.6
3,638300,疯狂的外星人,16898,214900,452,20,37,12,-68,-26,-66,-1,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.7
4,676018,飞驰人生,16531,164683,438,20,38,12,-62,-19,-60,-1,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.7
5,683172,熊出没·原始时代,5357,69581,154,20,35,10,-70,-34,-68,-1,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.7
6,684093,一吻定情,3505,16540,94,11,37,10,-73,-39,-72,-1,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.7
7,683395,新喜剧之王,2063,61573,55,20,38,6,-67,-36,-66,-1,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.8
8,675370,朝花夕誓：于离别之朝束起约定之花,1071,1096,34,3,31,8,0,0,0,0,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.8
9,671904,神探蒲松龄,614,15109,17,20,37,5,-62,-28,-61,-2,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.8
10,672831,廉政风云,538,11192,15,20,36,5,-54,-20,-50,-2,,2019/2/18至2019-02-24,148659,2510379,3791,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/18,30:47.8
1,642412,流浪地球,176756,377882,3992,13,44,39,-12,48,-5,9999,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.4
2,638300,疯狂的外星人,53111,198002,1343,13,40,26,-63,-14,-59,9999,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.4
3,676018,飞驰人生,43830,148152,1099,13,40,24,-58,-13,-54,9999,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.4
4,683172,熊出没·原始时代,18122,64224,489,13,37,21,-57,-2,-52,1,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.4
5,684093,一吻定情,13034,13034,337,4,39,21,0,0,0,0,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.4
6,683395,新喜剧之王,6342,59511,161,13,39,12,-88,-60,-87,-2,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.5
7,671904,神探蒲松龄,1626,14495,42,13,38,9,-87,-63,-86,-1,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.5
8,672831,廉政风云,1160,10654,30,13,38,9,-88,-68,-86,9999,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.5
9,677272,今夜在浪漫剧场,997,997,28,4,35,9,0,0,0,0,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.6
10,681380,小猪佩奇过大年,969,12174,25,13,38,7,-91,-67,-90,-3,,2019/2/11至2019-02-17,318134,2708738,7605,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/11,30:49.6
1,642412,流浪地球,201068,201126,4224,6,48,62,0,0,0,0,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.0
2,638300,疯狂的外星人,144887,144890,3308,6,44,54,0,0,0,0,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.1
3,676018,飞驰人生,104312,104322,2397,6,44,47,0,0,0,0,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.1
4,683395,新喜剧之王,53169,53169,1229,6,43,36,0,0,0,0,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.1
5,683172,熊出没·原始时代,42129,46103,1013,6,42,42,0,0,0,0,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.1
6,671904,神探蒲松龄,12868,12869,300,6,43,24,0,0,0,0,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.2
7,681380,小猪佩奇过大年,11193,11205,262,6,43,25,0,0,0,0,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.2
8,672831,廉政风云,9494,9494,215,6,44,20,0,0,0,0,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.2
9,682701,白蛇：缘起,1036,44335,29,31,36,8,-92,-92,-93,-8,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.2
10,589526,心灵的阳光,856,2939,23,3328,37,244,1856,42,1376,14,,2019/2/4至2019-02-10,584400,2893298,13091,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/2/4,30:51.3
1,682701,白蛇：缘起,13246,43297,389,24,34,9,-1,21,0,1,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.0
2,657841,死侍2：我爱我家,12668,28013,393,10,32,6,-17,72,-15,-1,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.1
3,678494,大黄蜂,8111,114153,239,31,34,7,-32,-17,-31,9999,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.1
4,685233,密室逃生,7483,22693,233,17,32,8,-20,3,-20,9999,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.1
5,675107,“大”人物,4182,37743,116,25,36,6,-35,-26,-35,9999,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.1
6,676520,钢铁飞龙之奥特曼崛起,697,2889,21,17,34,3,-9,-8,-14,4,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.1
7,665526,海王,681,201173,20,59,34,7,7,4,9,6,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.2
8,685259,家和万事惊,643,3247,14,17,46,24,-51,-84,-54,9999,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.2
9,684800,掠食城市,459,5019,13,17,35,4,-73,-67,-73,-2,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.2
10,685290,一条狗的回家路,453,3602,15,17,31,5,-60,-61,-61,-1,,2019/1/28至2019-02-03,51257,2325047,1529,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/28,30:52.3
1,657841,死侍2：我爱我家,15188,15218,460,3,33,12,0,0,0,0,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.5
2,682701,白蛇：缘起,13356,29901,389,17,34,11,11,30,12,1,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.5
3,678494,大黄蜂,11895,105946,345,24,35,8,-41,-32,-39,-2,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.5
4,685233,密室逃生,9325,15124,290,10,32,10,63,169,65,9999,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.5
5,675107,“大”人物,6437,33513,179,18,36,7,-54,-41,-53,-3,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.6
6,683172,熊出没·原始时代,2458,3969,73,-8,34,12,0,0,0,0,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.6
7,684800,掠食城市,1716,4553,49,10,35,5,-39,21,-37,-1,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.6
8,685259,家和万事惊,1323,2604,30,10,44,8,5,-48,-18,3,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.6
9,685290,一条狗的回家路,1143,3143,38,10,30,5,-43,-9,-41,-2,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.7
10,676520,钢铁飞龙之奥特曼崛起,762,2185,24,10,32,4,-34,48,-34,2,,2019/1/21至2019-01-27,69000,2425884,2037,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/21,30:53.7
1,678494,大黄蜂,20329,94036,568,17,36,9,-38,-29,-38,9999,7.37,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.6
2,675107,“大”人物,13856,27070,383,11,36,9,11,77,11,9999,6.7,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.6
3,682701,白蛇：缘起,12034,16528,346,10,35,12,172,95,168,1,7.75,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.6
4,685233,密室逃生,5709,5792,176,3,32,17,0,0,0,0,0,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.7
5,684192,来电狂响,2942,62982,86,24,34,5,-66,-54,-65,-2,6,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.7
6,684800,掠食城市,2832,2836,77,3,37,9,0,0,0,0,0,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.7
7,685290,一条狗的回家路,1994,2000,64,3,31,7,0,0,0,0,0,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.7
8,665526,海王,1521,199849,44,45,35,7,-50,-47,-50,-3,7.97,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.8
9,683172,熊出没·原始时代,1503,1506,45,-15,33,15,0,0,0,0,0,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.8
10,684774,我想吃掉你的胰脏,1360,1365,45,3,30,6,0,0,0,0,0,2019/1/14至2019-01-20,71435,2363268,2052,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/14,30:54.8
1,678494,大黄蜂,32960,73678,912,10,36,10,-19,73,-18,9999,7.47,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.7
2,675107,“大”人物,12466,13197,345,4,36,15,0,0,0,0,0,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.7
3,684192,来电狂响,8599,60036,248,17,35,7,-75,-38,-75,-1,6,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.7
4,682701,白蛇：缘起,4417,4482,129,3,34,9,0,0,0,0,0,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.7
5,665526,海王,3056,198326,88,38,35,7,-80,-52,-79,-1,7.97,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.7
6,670088,命运之夜——天之杯：恶兆之花,2454,2473,77,3,32,7,0,0,0,0,0,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.8
7,675900,大路朝天,1169,1911,28,23,42,63,81,65,86,5,0,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.8
8,680396,蜘蛛侠：平行宇宙,1013,42090,28,24,37,4,-89,-66,-90,-3,8.35,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.8
9,675569,德鲁大叔,702,703,23,3,30,6,0,0,0,0,0,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.8
10,679229,奎迪：英雄再起,487,1674,16,10,31,3,-58,-31,-58,1,7.66,2019/1/7至2019-01-13,71990,2298268,2031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2019/1/7,30:55.9
1,678494,大黄蜂,40672,40675,1110,3,37,22,0,0,0,0,0,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.2
2,684192,来电狂响,34445,51424,982,10,35,18,103,159,103,9999,6.1,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.2
3,642519,地球最后的夜晚,27810,28113,736,7,38,35,0,0,0,12,7.3,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.2
4,665526,海王,15392,195267,421,31,37,16,-18,-38,-18,-3,7.97,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.2
5,680396,蜘蛛侠：平行宇宙,9593,41076,264,17,36,14,-29,-52,-29,-2,8.45,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.3
6,672799,云南虫谷,4777,14676,131,9,37,8,-52,-15,-50,-2,4.62,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.3
7,684208,印度暴徒,2605,5887,84,10,31,10,-21,-7,-21,1,6.45,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.3
8,654922,龙猫,1633,17072,51,24,32,14,1,-48,-1,2,8.75,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.3
9,660756,叶问外传：张天志,1587,12823,45,17,35,10,-77,-79,-78,-4,6.4,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.3
10,666460,断片之险途夺宝,1323,4988,38,9,34,6,-64,-42,-63,-3,4.15,2018/12/31至2019-01-06,145652,2341017,4031,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/31,30:57.4
1,665526,海王,18794,179875,517,24,36,12,-38,-37,-39,9999,7.99,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.1
2,684192,来电狂响,16979,16979,485,3,35,23,0,0,0,0,0,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.1
3,680396,蜘蛛侠：平行宇宙,13424,31484,370,10,36,9,-25,66,-28,-1,8.45,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.2
4,672799,云南虫谷,9899,9899,261,2,38,14,0,0,0,0,0,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.2
5,660756,叶问外传：张天志,7016,11236,204,10,34,9,67,112,66,1,6.4,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.2
6,682647,天气预爆,3725,12271,105,10,36,5,-56,-11,-56,-3,6.26,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.2
7,666460,断片之险途夺宝,3664,3665,105,2,35,9,0,0,0,0,0,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.2
8,684208,印度暴徒,3282,3282,107,3,31,12,0,0,0,0,0,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.3
9,656597,武林怪兽,2606,7858,80,10,33,5,-50,9,-50,-5,5.55,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.3
10,654922,龙猫,1615,15440,51,17,32,7,-67,-69,-68,-5,8.75,2018/12/24至2018-12-30,86962,2267767,2461,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/24,30:58.3
1,665526,海王,30338,161081,842,17,36,13,-54,-35,-53,9999,7.99,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.8
2,680396,蜘蛛侠：平行宇宙,17948,18060,513,3,35,21,0,0,0,0,0,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.8
3,682647,天气预爆,8545,8545,238,3,36,11,0,0,0,0,0,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.8
4,656597,武林怪兽,5253,5253,161,3,33,10,0,0,0,0,0,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.8
5,654922,龙猫,4844,13825,157,10,31,7,-46,22,-47,-3,8.75,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.8
6,660756,叶问外传：张天志,4209,4220,123,3,34,12,0,0,0,0,0,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.9
7,677239,印度合伙人,2443,6069,80,10,31,6,-32,8,-32,-3,7.53,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.9
8,682061,网络谜踪,955,2819,28,10,34,4,-48,-3,-49,-1,8.24,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.9
9,638435,中国合伙人2,861,861,27,6,31,3,0,0,0,0,0,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.9
10,678587,无名之辈,797,79174,27,38,30,5,-79,-71,-76,-7,7.85,2018/12/17至2018-12-23,80399,2162094,2322,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/17,30:59.9
1,665526,海王,65528,130744,1805,10,36,18,0,98,1,9999,8.1,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.2
2,654922,龙猫,8973,8981,296,3,30,16,0,0,0,0,0,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.3
3,678587,无名之辈,3739,78377,110,31,34,6,-69,-58,-69,-1,7.85,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.3
4,677239,印度合伙人,3608,3626,118,3,31,10,0,0,0,0,0,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.3
5,619583,狗十三,2073,4092,63,10,33,6,7,7,6,1,8.4,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.3
6,682648,绿毛怪格林奇,1951,1951,58,3,34,9,0,0,0,0,0,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.3
7,682061,网络谜踪,1829,1864,56,3,33,8,0,0,0,0,0,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.3
8,662209,毒液：致命守护者,827,186661,25,38,33,4,-81,-75,-80,-5,7.3,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.4
9,678471,无敌破坏王2：大闹互联网,406,27070,11,24,35,3,-86,-79,-86,-5,8.2,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.4
10,682016,憨豆特工3,307,17188,10,24,30,3,-86,-77,-85,-5,6.7,2018/12/10至2018-12-16,91450,2061982,2621,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/10,31:01.4
1,665526,海王,65215,65215,1779,3,37,34,0,0,0,0,0,2018/12/3至2018-12-09,93524,2172164,2626,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/3,31:03.0
2,678587,无名之辈,12197,74638,354,24,34,8,-56,-22,-56,-1,7.85,2018/12/3至2018-12-09,93524,2172164,2626,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/3,31:03.0
3,662209,毒液：致命守护者,4294,185834,125,31,34,4,-69,-37,-68,-1,7.39,2018/12/3至2018-12-09,93524,2172164,2626,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/3,31:03.0
4,678471,无敌破坏王2：大闹互联网,2943,26664,84,17,35,5,-71,-49,-70,-1,8.21,2018/12/3至2018-12-09,93524,2172164,2626,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/3,31:03.1
5,682016,憨豆特工3,2127,16881,69,17,31,4,-69,-46,-69,-1,6.7,2018/12/3至2018-12-09,93524,2172164,2626,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/3,31:03.1
6,619583,狗十三,1942,2019,59,3,33,6,0,0,0,0,0,2018/12/3至2018-12-09,93524,2172164,2626,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/3,31:03.1
7,678481,惊涛飓浪,804,804,27,3,30,3,0,0,0,0,0,2018/12/3至2018-12-09,93524,2172164,2626,http://www.cbooo.cn/BoxOffice/getWeekInfoData?sdate=2018/12/3,31:03.1
