电影名称,评分,评论数,类型,地区,上映年份,总分
喋血双雄,8.3,29117,剧情/动作/惊悚/犯罪,香港,1989,241671.1
新娘大作战,4,29063,喜剧/爱情,中国大陆/香港,2015,116252
自杀专卖店,7,29059,喜剧/动画/歌舞,法国/加拿大/比利时,2012,203413
蝴蝶梦,8.2,29033,剧情/悬疑,美国,1940,238070.6
五月之恋 五月之,6.7,29005,爱情,台湾,2004,194333.5
绑架课,8.7,28966,喜剧/动画/短片/家庭,美国,2007,252004.2
新扎师妹2 新紮,6.6,28935,喜剧,香港,2003,190971
极速蜗牛,7.2,28926,喜剧/动画/冒险,美国,2013,208267.2
糊涂侦探,6.8,28925,喜剧/动作/冒险,美国,2008,196690
堕落的艺术,8.6,28904,动画/短片,波兰,2004,248574.4
露水红颜,4.9,28853,爱情,中国大陆,2014,141379.7
杀出个黎明,7.5,28837,动作/恐怖/犯罪,美国,1996,216277.5
黑夜传说前传：狼族再起,6.8,28802,动作/惊悚/奇幻/冒险,美国/新西兰,2009,195853.6
李献计历险记,6.4,28780,爱情/奇幻/冒险,中国大陆,2011,184192
罪恶之城,6.7,28755,动作/惊悚/犯罪,美国,2014,192658.5
爱情是狗娘,8.3,28732,剧情/惊悚,墨西哥,2000,238475.6
福音战士新剧场版：序 ヱヴァンゲリヲン新劇場版：,9.1,28726,动作/科幻/动画,日本,2007,261406.6
摔角王,8.3,28713,剧情/运动,美国/法国,2008,238317.9
踏血寻梅 踏血尋,7.4,28677,剧情/悬疑/犯罪,香港,2015,212209.8
紫日,8,28667,剧情/战争,中国大陆,2001,229336
机器侠,5.4,28635,喜剧/动作/爱情/科幻,中国,2009,154629
女男变错身,6.9,28630,喜剧/爱情,美国/英国/加拿大,2006,197547
处刑人,8.2,28623,剧情/动作/惊悚/犯罪,加拿大/美国,1999,234708.6
地球停转之日,5.7,28605,剧情/科幻/灾难,美国/加拿大,2008,163048.5
上帝保佑美国,7.8,28603,喜剧/犯罪,美国,2012,223103.4
超能失控,6.9,28592,剧情/动作/科幻/惊悚,英国/美国,2012,197284.8
美国派3：美国婚,7,28585,喜剧/爱情,美国/德国,2003,200095
夺宝奇兵,8.1,28561,动作/冒险,美国,1989,231344.1
早间主播,7.7,28545,剧情/喜剧/爱情,美国,2010,219796.5
恋恋风尘 戀戀風,8.4,28507,剧情/爱情,台湾,1987,239458.8
秘窗,7,28498,悬疑/惊悚,美国,2004,199486
卑劣的街头,7.8,28466,动作/惊悚/犯罪,韩国,2006,222034.8
老妇人与死神,8,28442,剧情/喜剧/动画/短片/奇幻,西班牙,1905,227536
明亮的星,7.7,28420,剧情/爱情/传记,英国/澳大利亚/法国,2009,218834
时光尽头的恋人,6.4,28405,剧情/爱情/奇幻,美国,2015,181792
王朝的女人·杨贵妃,3.7,28389,爱情/古装,中国大陆,2015,105039.3
城市猎人 城市獵,7.1,28353,喜剧/动作/爱情,香港/日本,1993,201306.3
活死人黎明,7.4,28325,动作/科幻/恐怖,美国/加拿大/日本/法国,2004,209605
年轻的维多利亚,7.3,28251,剧情/爱情/传记/历史,英国/美国,2009,206232.3
猫头鹰王国：守卫者传奇,7.4,28243,动作/动画/奇幻/冒险,美国/澳大利亚,2010,208998.2
辉夜姬物语 かぐや姫の物,8.3,28241,动画,日本,2013,234400.3
傻瓜,7.6,28226,喜剧/爱情,韩国,2008,214517.6
孤岛惊魂,3.2,28218,悬疑/惊悚/恐怖,中国大陆,2011,90297.6
法官老爹,7.8,28204,剧情,美国,2014,219991.2
求婚大作战特别篇 プロポーズ大作戦スペシャ,8.6,28194,剧情,日本,2008,242468.4
极地特快,7.5,28169,动画/家庭/奇幻/冒险,美国,2005,211267.5
四大名捕大结局,4.7,28150,动作/爱情/悬疑/武侠/古装,中国大陆/香港,2014,132305
美国黑帮,7.8,28117,剧情/犯罪,美国,2007,219312.6
居家男人,8.1,28095,剧情/喜剧/爱情/家庭/奇幻,美国,2000,227569.5
伸冤人,7.4,28073,动作/惊悚/犯罪,美国,2014,207740.2
坏未来,8.1,28061,剧情/动作/爱情/科幻/短片,中国大陆,2013,227294.1
背水一战,6.9,28056,喜剧/动作/犯罪,美国,2013,193586.4
虎胆龙威,7.8,28033,动作/惊悚/犯罪,美国,1990,218657.4
走到尽头,7.8,28020,动作/悬疑/惊悚/犯罪,韩国,2014,218556
刀锋战士,6.9,27996,动作/惊悚/恐怖/奇幻/冒险,美国/德国,2002,193172.4
男孩别哭,8.1,27978,剧情/爱情/同性/犯罪,美国,1999,226621.8
晚娘,6.4,27944,剧情/情色,泰国,2001,178841.6
闯入者,7.7,27938,剧情/惊悚/犯罪,中国大陆,2015,215122.6
迷魂记,8.5,27913,爱情/悬疑/惊悚,美国,1958,237260.5
黑客帝国动画版,8.7,27906,剧情/动作/科幻/动画,美国,2003,242782.2
十二夜,7.9,27852,剧情,香港,2000,220030.8
热天午后,8.6,27776,剧情/喜剧/犯罪,美国,1975,238873.6
恐怖星球,7.4,27757,动作/科幻/恐怖,美国,2007,205401.8
驱魔人,7.6,27753,恐怖,美国,1973,210922.8
娜娜,6.5,27744,剧情/爱情,日本,2006,180336
不可撤销 ,6.8,27722,剧情/惊悚/情色/犯罪,法国,2002,188509.6
不能没有你,8.3,27703,剧情/家庭,台湾,2009,229934.9
机动部队,7.8,27695,剧情/犯罪,香港,2003,216021
内布拉斯加,8.6,27635,剧情/家庭,美国,2013,237661
西风烈,5.9,27614,剧情/动作/犯罪/西部,中国大陆,2010,162922.6
吸血鬼猎人林肯,6.3,27547,动作/惊悚/恐怖/奇幻,美国,2012,173546.1
恋爱前规则,5.1,27547,剧情/喜剧/爱情,中国,2009,140489.7
有种你爱我,4.8,27516,喜剧/爱情,中国大陆,2015,132076.8
忠奸人,8.1,27507,剧情/惊悚/犯罪,美国,1997,222806.7
流感,7.8,27504,剧情/惊悚/灾难,韩国,2013,214531.2
黑店狂想曲,8.1,27475,喜剧/奇幻,法国,1991,222547.5
超级八,6.4,27474,科幻/悬疑/惊悚/儿童,美国,2011,175833.6
咒怨2 ,7.2,27469,恐怖,日本,2003,197776.8
大奥,7.1,27451,剧情/同性,日本,2010,194902.1
生命之树,6.9,27411,剧情/家庭/奇幻,美国,2011,189135.9
伦敦陷落,6.2,27411,动作/惊悚/犯罪,英国/美国/保加利亚,2016,169948.2
编舟记 舟を編,8.5,27350,剧情,日本,2013,232475
时光倒流七十年,7.8,27314,剧情/爱情/奇幻,美国,1980,213049.2
夜·上海,6.6,27314,剧情/爱情,中国大陆/日本,2007,180272.4
奇幻精灵事件簿,7.2,27303,家庭/奇幻/冒险,美国,2008,196581.6
斗士,7.9,27279,剧情/家庭/传记/运动,美国,2010,215504.1
恋恋书中人,7.5,27266,喜剧/爱情/奇幻,美国,2012,204495
夺宝奇兵,6.9,27250,动作/惊悚/冒险,美国,2008,188025
大丈夫,7.5,27235,剧情/喜剧,香港,2003,204262.5
丈夫得了抑郁症 ツレがうつになりまして,8,27212,剧情/爱情/家庭,日本,2011,217696
萨玛利亚女孩,7.5,27212,剧情/情色,韩国,2004,204090
给桃子的信 ももへの手,8.1,27209,剧情/动画,日本,2011,220392.9
鸣梁海战,7,27198,剧情/动作/传记/战争/冒险,韩国,2014,190386
的士速递,7.8,27192,喜剧/动作/犯罪,法国,2000,212097.6
驯龙高手番外篇：龙的礼物,8.5,27120,动画/短片/家庭/冒险,美国,2011,230520
东方快车谋杀案,8.3,27098,剧情/悬疑,英国,1974,224913.4
冲出亚马逊,6.4,27081,剧情/动作,中国大陆,2002,173318.4
双雄 雙,6.4,27079,惊悚,香港,2003,173305.6
芙蓉镇,8.9,27054,剧情/爱情,中国大陆,1986,240780.6
蒂莫西的奇异生活,7.8,26991,剧情/喜剧/家庭/奇幻,美国,2012,210529.8
大事件,6.4,26973,剧情/动作/犯罪,中国大陆/香港,2004,172627.2
天际浩劫,4.4,26955,动作/科幻/灾难,美国,2011,118602
微不足道,8.1,26932,喜剧/惊悚/犯罪,英国/加拿大,2006,218149.2
冬天的骨头,7.3,26932,剧情/悬疑/惊悚/家庭,美国,2010,196603.6
五个扑水的少年 ウォーターボーイ,8.4,26902,喜剧/运动,日本,2001,225976.8
饺子,6.5,26895,剧情/惊悚,香港,2004,174817.5
铁皮鼓,8.3,26889,剧情/历史/战争,西德/波兰/法国/南斯拉夫,1979,223178.7
突袭2：暴,7.8,26880,剧情/动作/犯罪,印度尼西亚/美国,2014,209664
女孩梦三十,6.9,26880,喜剧/爱情/奇幻,美国,2004,185472
弯刀,6.5,26867,喜剧/动作/惊悚/犯罪,美国,2010,174635.5
谜城,5.5,26862,动作/惊悚/犯罪,中国大陆/香港,2015,147741
白银帝国,6.3,26825,剧情/爱情/家庭/传记/历史/古装,中国大陆/台湾/香港,2009,168997.5
圣殇,7.8,26823,剧情,韩国,2012,209219.4
最后的巫师猎人,5.8,26817,动作/奇幻/冒险,美国,2016,155538.6
触不可及,5.3,26795,爱情/战争,中国大陆,2014,142013.5
迫在眉梢,8.5,26790,剧情/惊悚/家庭/犯罪,美国,2002,227715
饭局也疯狂,5,26752,剧情/喜剧,中国大陆,2012,133760
柏拉图式性爱 プラトニック・セッ,6.6,26750,剧情/情色/传记,日本,2001,176550
看得见风景的房间,7.8,26736,剧情/爱情,英国,1985,208540.8
巨人捕手杰克,6.2,26732,剧情/奇幻/冒险,美国,2013,165738.4
林肯律师,7.7,26706,剧情/惊悚/犯罪,美国,2012,205636.2
致命急件,7,26679,动作/惊悚,美国,2012,186753
赌神2 ,7.5,26666,喜剧/动作,香港,1994,199995
我与梦露的一周,7.3,26644,剧情/传记/历史,英国/美国,2011,194501.2
黄河绝恋,7.5,26643,剧情/战争,中国,1999,199822.5
杀人漫画,7.1,26641,悬疑/惊悚/犯罪,韩国,2013,189151.1
两男变错身,6.7,26619,喜剧,美国,2011,178347.3
双瞳,7,26617,悬疑/恐怖,香港/台湾,2002,186319
小飞侠彼得潘,8.1,26598,剧情/奇幻/冒险,澳大利亚/美国/英国,2003,215443.8
消失的松果,8.7,26590,喜剧/动画/短片,美国,2002,231333
飞鹰计划 飛鷹計,7.4,26576,喜剧/动作/惊悚/犯罪/冒险,香港,1991,196662.4
人皮客栈,6.7,26569,悬疑/惊悚/恐怖,美国,2005,178012.3
绿茶,6.2,26556,剧情/爱情,中国大陆,2003,164647.2
一半海水一半火焰,6.6,26537,剧情,香港,2008,175144.2
交响情人梦 最终乐章 后篇 のだめカンタービレ 最終,8.7,26505,剧情,日本,2010,230593.5
香蕉,8.3,26496,喜剧/动画/短片,美国,1905,219916.8
站台,8.2,26492,剧情/历史,中国/香港/日本/法国,2000,217234.4
风云2 风,4.8,26470,动作/奇幻/冒险,香港/中国,2009,127056
意外的幸运签 カラフ,8.2,26462,动画/奇幻,日本,2010,216988.4
孩子们都很好,7.5,26413,剧情/喜剧/同性/家庭,美国,2010,198097.5
一念天堂,5.1,26397,喜剧,中国大陆,2015,134624.7
人狗奇缘,8.4,26391,剧情/儿童,韩国,2006,221684.4
苦月亮,8.1,26364,剧情/爱情/惊悚/情色,法国/英国/美国,1992,213548.4
金氏漂流记,8.3,26344,剧情/爱情,韩国,2009,218655.2
你眼中的世界,7.6,26344,剧情/爱情/科幻,美国,2014,200214.4
无人知晓 誰も知らな,8.9,26341,剧情,日本,2004,234434.9
冒牌天神,6.6,26327,喜剧/家庭/奇幻,美国,2007,173758.2
如梦,6.3,26305,剧情,中国大陆/台湾,2010,165721.5
卡拉是条狗,7,26304,剧情/喜剧,中国大陆,2003,184128
深海寻人,5.9,26272,剧情/爱情/惊悚/恐怖/奇幻,中国大陆/香港,2008,155004.8
我老婆未满十八岁 我老婆唔够,6.5,26203,喜剧/爱情,香港,2002,170319.5
新天龙八部之天山童姥 新天龍八部之天山童,7.2,26196,动作/武侠/古装,香港/中国大陆,1994,188611.2
欲盖弄潮,8,26180,剧情/爱情/同性/运动,美国,2008,209440
百万富翁的初恋,6.6,26178,爱情,韩国,2006,172774.8
龙凤店,4.9,26178,喜剧/爱情/古装,香港/中国大陆,2010,128272.2
南方公园,8.5,26160,喜剧/动画/歌舞,美国,1999,222360
第九道门,7.2,26090,剧情/悬疑/惊悚/恐怖/奇幻,法国/西班牙/美国,1999,187848
歪小子斯科特对抗全世界,7,26059,喜剧/动作/爱情/奇幻,美国/英国/加拿大,2010,182413
空中大灌篮,6.9,26012,喜剧/科幻/动画/家庭/冒险/运动,美国,1996,179482.8
辛亥革命,6.2,26002,剧情/历史,中国大陆,2011,161212.4
美国派4：美国重,7,25981,喜剧/爱情,美国,2012,181867
精灵鼠小弟,7,25980,喜剧/家庭/奇幻/冒险,美国,2002,181860
名侦探柯南：业火的向日葵 名探偵コナン 業火の向,5.7,25967,动画/悬疑/冒险,日本,2015,148011.9
豚鼠系列之5：下水道的美人鱼 ザ・ギニーピッグ マンホールの,5.9,25964,爱情/恐怖,日本,1988,153187.6
硫磺岛的来信,7.9,25943,剧情/历史/战争,美国,2006,204949.7
邻家女优,6.7,25924,剧情/喜剧/爱情,美国,2004,173690.8
尼斯湖怪：深水传说,6.7,25900,家庭/奇幻/冒险,新西兰/英国/澳大利亚,2008,173530
疤面煞星,8.2,25884,剧情/惊悚/犯罪,美国,1983,212248.8
未来战警,6.7,25884,动作/科幻/惊悚,美国,2009,173422.8
冰封：重生之门,3.5,25861,喜剧/动作/奇幻,中国大陆,2014,90513.5
猴子捞月,8,25812,动画/短片,中国大陆,1905,206496
枪王 鎗,8.1,25802,动作/惊悚/犯罪,香港,2000,208996.2
食人鱼,5.9,25801,喜剧/惊悚/恐怖,美国,2010,152225.9
色即是空,6.4,25789,喜剧/情色,韩国,2007,165049.6
偷听女人心,7,25749,喜剧/爱情/奇幻,美国,2000,180243
暴疯语,6,25724,悬疑/惊悚,中国大陆/香港,2015,154344
乱,8.7,25721,剧情/动作/战争,日本/法国,1985,223772.7
奸臣,6.4,25719,剧情/情色/古装,韩国,2015,164601.6
地铁惊魂,6.7,25706,剧情/动作/犯罪,美国/英国,2009,172230.2
007之择,7.1,25669,动作/惊悚/犯罪/冒险,英国/美国,2002,182249.9
不可饶恕,8.4,25637,剧情/犯罪/西部,美国,1992,215350.8
我要复仇,7.9,25609,剧情/惊悚/犯罪,韩国,2002,202311.1
岳父岳母真难当,8,25496,喜剧/家庭,法国,2014,203968
姐弟恋,7,25444,喜剧/爱情,美国,2009,178108
霹雳娇娃,6.5,25439,喜剧/动作/犯罪/冒险,美国,2003,165353.5
南郭先生,8,25428,动画/短片,中国大陆,1905,203424
死神的十字路口,7.4,25411,剧情/悬疑/惊悚/恐怖,泰国,2008,188041.4
98古惑仔之龙争虎斗 98古惑仔,7.2,25353,动作,香港,1998,182541.6
内在美,7.5,25344,剧情/爱情/奇幻,韩国,2015,190080
此间的少年,7.6,25342,剧情/喜剧,中国大陆,2010,192599.2
名侦探柯南：第十一名前锋 名探偵コナン 11人目のスト,6.1,25327,动作/动画,日本,2012,154494.7
如月疑云 キサラ,8.1,25317,喜剧/悬疑,日本,2007,205067.7
欧洲性旅行,7.1,25315,喜剧/冒险,捷克/美国,2004,179736.5
摇滚黑帮,7.6,25233,动作/惊悚/犯罪,美国/英国,2008,191770.8
暗恋桃花源 暗戀桃花,8.6,25228,剧情/喜剧/爱情,台湾,1905,216960.8
漂流欲室,7.1,25227,剧情/惊悚/情色,韩国,2000,179111.7
给爸爸的信 給爸爸的,7.5,25196,动作,香港,1995,188970
星之声 ほしのこ,8.4,25180,爱情/科幻/动画/短片,日本,2002,211512
潜伏,7.8,25180,惊悚/恐怖,美国,2013,196404
埃及王子,8,25165,剧情/动画/歌舞/家庭/历史/冒险,美国,1998,201320
巴黎野玫瑰 ,8.1,25119,剧情/爱情/情色,法国,1986,203463.9
冥界警局,6,25107,喜剧/动作/犯罪/奇幻,美国,2013,150642
笔仙,6.3,25103,恐怖,韩国,2004,158148.9
独家新闻,7.2,25101,喜剧/爱情/悬疑/奇幻,英国/美国,2006,180727.2
天堂之吻 パラダイス・,6.7,25080,剧情/爱情,日本,2011,168036
硬汉2：奉陪到,6.4,25067,动作/爱情,中国大陆,2011,160428.8
盲,7.5,25065,剧情/悬疑/犯罪,韩国,2011,187987.5
弗兰克,7.8,25040,剧情,英国/爱尔兰,2014,195312
人类清除计划,5.6,25021,科幻/惊悚/恐怖,美国/法国,2013,140117.6
墨水心,6.3,24995,家庭/奇幻/冒险,德国/英国/美国,2008,157468.5
六指琴魔,7,24975,动作/武侠/古装,香港/中国大陆,1994,174825
夏天的尾巴,7.1,24884,剧情,台湾,2007,176676.4
纯真年代,8.2,24822,剧情/爱情,美国,1993,203540.4
我爱你,7.1,24800,爱情,中国大陆,2003,176080
与时尚同居,5.6,24776,喜剧/爱情,中国大陆,2011,138745.6
粉红豹,7.3,24772,喜剧/悬疑/犯罪/冒险,美国/捷克,2006,180835.6
艾利之书,6.7,24765,剧情/动作/冒险,美国,2010,165925.5
真爱无价,7.1,24756,喜剧/爱情,法国,2006,175767.6
末日危途,7.7,24745,剧情/惊悚/冒险/灾难,美国,2009,190536.5
临时同居 失戀急,5,24744,喜剧/爱情,香港/中国大陆,2014,123720
环游地球八十天,5.9,24728,喜剧/动作/冒险,美国/德国/爱尔兰/英国,2004,145895.2
失忆界女王,6.2,24703,喜剧/爱情,中国大陆/香港,2003,153158.6
小鬼当街,8.2,24699,喜剧/冒险,美国,1994,202531.8
托斯卡纳艳阳下,8.1,24698,剧情/喜剧/爱情,美国/意大利,2003,200053.8
一触即发,5.7,24613,剧情/动作/惊悚,美国/俄罗斯,2014,140294.1
一个字头的诞生 一個字頭的誕,8.3,24608,喜剧/动作/犯罪,香港,1997,204246.4
熊猫大侠,4.5,24583,喜剧/动作/古装,中国大陆,2009,110623.5
圣诞玫瑰,6.1,24560,剧情/悬疑/犯罪,中国大陆/香港,2013,149816
涉外大饭店,8,24546,剧情/喜剧,英国/美国/阿联酋,2011,196368
捕蝇纸,7.8,24509,喜剧/犯罪,美国/德国,2011,191170.2
生活多美好,9.2,24495,剧情/爱情/奇幻,美国,1946,225354
八月：奥色治郡,8,24495,剧情,美国,2013,195960
记忆裂痕,7.2,24482,动作/科幻/悬疑/惊悚,美国,2004,176270.4
共同警备区,8.6,24475,剧情/惊悚/战争,韩国,2000,210485
总统杀局,7,24439,剧情,美国,2011,171073
滚滚红尘,8.2,24437,爱情/战争,香港/中国大陆,1990,200383.4
吐司,7.5,24406,剧情/喜剧/同性/家庭,英国,2010,183045
破绽,7.3,24405,剧情/悬疑/惊悚/犯罪,美国/德国,2007,178156.5
变节：潜罪犯 Lau,6.1,24399,动作/悬疑/犯罪,香港,2012,148833.9
名侦探柯南：远海的侦探 名探偵コナン 絶海の,6.2,24387,动画/悬疑/犯罪/冒险,日本,2013,151199.4
新世纪福音战士剧场版：Air/真心为你 新世紀エヴァンゲリオン劇場版 Ai,9.4,24355,剧情/动作/科幻/动画/奇幻,日本,1997,228937
血色将至,8,24339,剧情/惊悚/历史,美国,2007,194712
新桥恋人,8.1,24337,剧情/爱情,法国,1991,197129.7
天佑鲍比,8.9,24227,剧情/同性/传记,美国,2009,215620.3
利益风暴,7.8,24205,剧情,美国,2011,188799
阿呆与阿瓜,7.2,24177,喜剧,美国,1994,174074.4
愤怒的公牛,8.3,24172,剧情/动作/传记/运动,美国,1980,200627.6
仙履奇缘,8.1,24157,爱情/动画/歌舞/奇幻,美国,1950,195671.7
美人鱼,6.5,24105,喜剧/爱情/家庭/奇幻,美国/澳大利亚,2006,156682.5
下一站…天后,6.5,24096,剧情/喜剧/爱情,香港,2003,156624
埃及艳后,7.7,24080,剧情/爱情/传记/历史,英国/美国/瑞士,1963,185416
大城小事,6.3,24068,剧情/爱情,中国大陆/香港,2004,151628.4
黑色大丽花,6.5,24055,剧情/悬疑/惊悚/历史/犯罪,美国/德国,2006,156357.5
红气球,8.7,24034,短片/家庭/奇幻,法国,1956,209095.8
憨豆先生的大灾难,7.9,24005,喜剧/家庭,英国/美国,1997,189639.5
江湖,6.9,23965,剧情/动作/犯罪,香港,2004,165358.5
柏林,7.2,23854,剧情/动作/惊悚,韩国,2013,171748.8
出埃及记,7,23835,剧情/喜剧/犯罪,香港,2007,166845
福音战士新剧场版：Q ヱヴァンゲリヲン新劇場,8.3,23819,剧情/动作/科幻/动画,日本,2012,197697.7
听说桐岛要退部 桐島、部活やめるって,7.9,23807,剧情,日本,2012,188075.3
与我同眠,6.6,23805,剧情/爱情/情色,加拿大,2005,157113
007之,7.5,23773,动作/惊悚/冒险,英国/美国,1995,178297.5
铁拳男人,8.6,23770,剧情/家庭/传记/运动,美国,2005,204422
300勇士：帝,6.1,23756,剧情/动作/历史/战争,美国,2014,144911.6
精英部队,7.9,23725,剧情/动作/惊悚/犯罪,巴西/美国/阿根廷,2007,187427.5
007之黑,7.3,23725,动作/惊悚/冒险,英国/美国,1999,173192.5
反贪风暴 Z,5.5,23717,剧情/动作/犯罪,香港/中国大陆,2014,130443.5
茜茜公主,8.5,23696,剧情/爱情/历史,奥地利,1956,201416
嗜血破晓,6.8,23679,剧情/动作/科幻/恐怖/犯罪,美国/澳大利亚,2010,161017.2
永远的三丁目的夕阳 ALWAY,8.8,23676,剧情/家庭,日本,2005,208348.8
深空失忆,7.3,23658,动作/科幻/悬疑/惊悚/恐怖,德国/英国,2009,172703.4
古今大战秦俑情 古今大戰秦俑,6.7,23654,爱情/奇幻/冒险/古装,香港,1990,158481.8
杜拉拉追婚记,5.3,23634,喜剧/爱情,中国大陆,2015,125260.2
一球成名,7.4,23619,剧情/运动,英国/美国,2006,174780.6
我唾弃你的坟墓,6.4,23553,惊悚/犯罪,美国,2010,150739.2
刀锋战士,6.6,23527,动作/惊悚/奇幻/冒险,美国,2004,155278.2
第六日,6.8,23459,动作/科幻/惊悚,美国,2000,159521.2
怪兽屋,7.1,23457,喜剧/动画/悬疑/家庭/奇幻,美国,2006,166544.7
迫降航班,7.2,23430,剧情/灾难,美国,2012,168696
奋斗,5,23409,剧情/喜剧/爱情,中国大陆,2011,117045
进击的巨人真人版：前篇 進撃の巨,5.1,23396,动作/科幻/惊悚,日本,2015,119319.6
巴尔扎克与小裁缝,7.7,23365,剧情/爱情/传记,中国/法国,2002,179910.5
求爱上上签 性感都,5.9,23362,喜剧/爱情,香港,2004,137835.8
无敌幸运星 無敵幸運,6.8,23354,喜剧/动作,香港,1990,158807.2
007之明,7.2,23351,动作/惊悚/冒险,英国/美国,1997,168127.2
机器战警,7.5,23349,剧情/动作/科幻/惊悚/犯罪,美国,1987,175117.5
尖峰时刻,6.4,23316,喜剧/动作/犯罪,美国/德国,2007,149222.4
龙虎少年队,6.8,23315,喜剧/动作/犯罪,美国,2012,158542
孤独的幸存者,8,23294,剧情/动作/传记,美国,2013,186352
B+侦探,5.7,23282,剧情/悬疑/惊悚/犯罪,香港/中国大陆,2011,132707.4
隔山有眼,6.7,23229,惊悚/恐怖,美国,2006,155634.3
大电影2 大电影2.0：两个傻,5.7,23211,喜剧,中国大陆,2007,132302.7
SPE,8.6,23199,剧情/悬疑,日本,2012,199511.4
沉睡的青春 沈睡的青,7.1,23194,爱情/悬疑,台湾,2007,164677.4
极度深寒,7.3,23188,动作/科幻/惊悚/灾难,美国,1998,169272.4
史蒂夫·乔布斯,7.2,23188,剧情/传记,美国/英国,2015,166953.6
死亡实验,7.3,23178,剧情/惊悚,美国,2010,169199.4
九,6.9,23177,剧情/爱情/歌舞,美国/意大利,2009,159921.3
蝙蝠侠,7.2,23173,动作/奇幻,美国/英国,1989,166845.6
大逃杀2：镇魂歌 バトル・ロワイアルII,5.4,23152,剧情/动作/惊悚,日本,2003,125020.8
好奇害死猫,6.3,23150,剧情/爱情/悬疑/惊悚,中国大陆,2006,145845
情圣 情,7,23145,喜剧,香港,1991,162015
七龙珠,3.7,23139,动作/科幻/惊悚/奇幻/冒险,美国/香港/英国,2009,85614.3
狼牙,6.1,23134,动作/惊悚,香港,2008,141117.4
灵动：鬼影实录,6.4,23131,悬疑/恐怖,美国,2007,148038.4
冲锋车 衝鋒,6.6,23128,喜剧/犯罪,香港/中国大陆,2015,152644.8
大战外星人,6.9,23127,喜剧/动作/科幻/动画/家庭/冒险,美国,2009,159576.3
面子,8.6,23125,剧情/喜剧/爱情/同性,美国,2004,198875
功夫小蝇,7.4,23118,喜剧/动作/奇幻,印度,2012,171073.2
成事在人,8.2,23115,剧情/传记/历史/运动,美国,2009,189543
性、谎言和录像带,7.6,23082,剧情/情色,美国,1989,175423.2
A计划续集 A計,7.3,23057,喜剧/动作/犯罪,香港,1987,168316.1
回归,8.1,23042,剧情/喜剧/悬疑/犯罪,西班牙,2006,186640.2
爱人,6.6,23011,爱情/情色,韩国,2005,151872.6
猎头游戏,7.7,22996,悬疑/惊悚/犯罪,挪威/德国,2011,177069.2
杀死一只知更鸟,8.5,22989,剧情/悬疑/犯罪,美国,1962,195406.5
河东狮吼,3.3,22977,喜剧/动作/爱情,中国大陆/香港,2012,75824.1
宋家皇朝,7.7,22964,剧情/爱情/历史,中国大陆/香港/日本,1997,176822.8
二十四城记,7.4,22962,剧情,中国大陆/香港/日本,2009,169918.8
魁拔之大战元泱界,7.6,22960,动作/动画/奇幻/冒险,中国大陆,2013,174496
人体蜈蚣,5,22958,恐怖,荷兰,2009,114790
思悼,8.3,22932,剧情/传记/历史,韩国,2015,190335.6
特工争风,6.6,22905,喜剧/动作/爱情,美国,2012,151173
胜者即是正义 2014SP リーガ,8.3,22886,剧情/悬疑,日本,2014,189953.8
魔幻厨房,5.6,22884,喜剧/爱情,香港,2004,128150.4
出水芙蓉,8.5,22879,喜剧/歌舞,美国,1944,194471.5
老师的恩惠,6.7,22879,悬疑/惊悚/恐怖,韩国,2006,153289.3
公主复仇记,6.8,22877,剧情,香港,2004,155563.6
一路惊喜,5.1,22861,喜剧/爱情/家庭,中国大陆,2015,116591.1
惊变2,6.7,22843,惊悚/恐怖,英国/西班牙,2007,153048.1
危情十日,8.3,22827,剧情/惊悚/犯罪,美国,1990,189464.1
一座城池,5.4,22739,剧情/喜剧,中国大陆,2013,122790.6
战栗空间,7.1,22723,惊悚,美国,2002,161333.3
夺宝奇兵,7.7,22672,动作/冒险,美国,1984,174574.4
红樱桃,7.5,22656,剧情/战争,中国大陆,1995,169920
惊声尖叫,7,22655,悬疑/恐怖/犯罪,美国,1996,158585
狂暴飞车,5.8,22622,动作/惊悚/犯罪/奇幻,美国,2011,131207.6
爱你，罗茜,7.3,22598,喜剧/爱情,德国/英国,2014,164965.4
第一滴血,7.1,22597,动作/惊悚,美国/德国,2008,160438.7
乔布斯,6,22548,剧情/传记,美国,2013,135288
汉娜·蒙塔娜：电影版,7,22519,喜剧,美国,2009,157633
行运超人,6.6,22519,喜剧/爱情,香港,2003,148625.4
醉拳2 醉,7.4,22508,喜剧/动作,香港,1994,166559.2
太空一号,6.1,22503,动作/科幻/惊悚,美国/法国,2012,137268.3
我妻子的一切,7.3,22502,喜剧/爱情,韩国,2012,164264.6
攻壳机动队2：无罪 攻殻機動隊2 イ,9,22491,剧情/科幻/动画/惊悚,日本,2004,202419
香奈儿,8,22470,传记,意大利/法国/英国,2008,179760
看见恶魔,7.5,22444,剧情/惊悚/犯罪,韩国,2010,168330
雷蒙·斯尼奇的不幸历险,7.5,22443,喜剧/家庭/奇幻/冒险,美国/德国,2004,168322.5
人间中毒,6.4,22443,剧情/爱情/情色,韩国,2014,143635.2
丑陋的真相,6.7,22427,喜剧/爱情,美国,2009,150260.9
绿芥刑警,7.1,22419,剧情/喜剧/动作/惊悚/犯罪,法国/日本,2001,159174.9
笑林小子2：新乌龙院 笑林小子2：新,7.6,22415,喜剧/动作,香港/台湾,1994,170354
天若有情,7.9,22398,剧情/动作/爱情,香港,1990,176944.2
