电影名称,评分,评论数,类型,地区,上映年份,总分
哥斯拉,6.4,95298,动作/科幻/冒险/灾难,美国/日本,2014,609907.2
林中小屋,7.4,95198,喜剧/悬疑/恐怖,美国,2012,704465.2
僵尸肖恩,7.7,95169,喜剧/惊悚,英国/法国/美国,2004,732801.3
蜘蛛侠,7.1,95116,动作/爱情/犯罪/奇幻,美国,2004,675323.6
锦衣卫,6,95064,剧情/动作/惊悚/武侠/古装,中国大陆/香港/新加坡,2010,570384
恋爱假期,7.6,95017,喜剧/爱情,美国,2006,722129.2
有一个地方只有我们知道,5,94960,爱情,中国大陆,2015,474800
暮光之城3：月,6.5,94949,剧情/爱情/惊悚/奇幻,美国,2010,617168.5
丑女大翻身,7.2,94867,喜剧/爱情,韩国,2006,683042.4
暗战 暗,8.3,94768,剧情/动作/犯罪,香港,1999,786574.4
万万没想到,5.6,94721,喜剧/奇幻/冒险/古装,中国大陆,2015,530437.6
太阳照常升起,7.9,94709,剧情,中国大陆,2007,748201.1
了不起的狐狸爸爸,8.4,94565,喜剧/动画/家庭/冒险,美国,2009,794346
罗生门 羅生,8.7,94501,剧情/悬疑/犯罪,日本,1950,822158.7
通天塔,8,94451,剧情,法国/美国/墨西哥,2006,755608
歌舞青春,7.7,94359,剧情/喜剧/家庭,美国,2006,726564.3
窃听风云,6.2,94347,动作/悬疑/惊悚/犯罪,香港/中国大陆,2014,584951.4
偷拐抢骗,8.5,94291,喜剧/犯罪,英国/美国,2000,801473.5
纳尼亚传奇1：狮子、女巫和魔衣,7.1,93986,家庭/奇幻/冒险,英国/美国,2005,667300.6
我愿意,5.9,93703,喜剧/爱情,中国大陆,2012,552847.7
剑雨,6.9,93610,动作/武侠/古装,中国大陆/香港/台湾,2010,645909
鬼妈妈,8,93552,动画/家庭/奇幻/冒险,美国,2009,748416
大兵小将,6.9,93492,喜剧/动作/冒险,中国大陆/香港,2010,645094.8
回忆积木小屋 つみきのい,9.3,93384,剧情/动画/短片,日本,2008,868471.2
十一罗汉,7.9,93266,动作/犯罪,美国,2001,736801.4
卢旺达饭店,8.8,93146,剧情/历史/战争,英国/南非/意大利/美国,2004,819684.8
星空,7.2,92972,剧情/爱情/奇幻,中国大陆/台湾,2011,669398.4
燕尾蝶 スワロウテイ,8.7,92867,剧情/犯罪,日本,1996,807942.9
巴黎淘气帮,8.6,92857,喜剧/家庭/儿童,法国/比利时,2013,798570.2
国家宝藏,7.6,92699,动作/悬疑/惊悚/冒险,美国,2004,704512.4
无极,4.6,92479,剧情/动作/奇幻,中国大陆/香港/日本/韩国,2005,425403.4
移动迷宫,6.8,92394,动作/科幻,美国/加拿大/英国,2014,628279.2
生化危机,7.8,92310,动作/科幻/恐怖,英国/德国/法国/美国,2002,720018
恋爱通告,6,92294,喜剧/爱情,台湾/中国大陆,2010,553764
手机,7.3,92251,剧情/喜剧/家庭,中国大陆,2003,673432.3
理发师陶德,7.7,92188,剧情/惊悚/歌舞,美国/英国,2007,709847.6
你丫闭嘴！,8,92153,喜剧/犯罪,法国/意大利,2003,737224
满城尽带黄金甲,5.1,91851,剧情/动作/爱情/古装,中国大陆/香港,2006,468440.1
